Date,Hour,Junction,AVGVEHICLES,AVGTEMPERATURE,RAIN_MM,Congestion,Congestion_Label,TempC,DayOfWeek,Month,Weekend,RushHour,RainFlag,HeavyRain,HotDay,LagTraffic,Lag2,RainLag,MovingAvg3hr,Rain_Traffic_Interaction,Temp_Traffic_Interaction,CongestionIndex
2017-01-01,1,4,1,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,,,,1,0,11.210470085,0.02
2017-01-01,2,4,4,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,1,,0,2.5,0,44.841880342,0.08
2017-01-01,3,4,4,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,4,1,0,3,0,44.841880342,0.08
2017-01-01,4,4,2,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,4,4,0,3.3333333333,0,22.420940171,0.04
2017-01-01,5,4,1,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,2,4,0,2.3333333333,0,11.210470085,0.02
2017-01-01,6,4,1,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,1,2,0,1.3333333333,0,11.210470085,0.02
2017-01-01,7,4,4,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,1,1,0,2,0,44.841880342,0.08
2017-01-01,8,4,4,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,4,1,0,3,0,44.841880342,0.08
2017-01-01,9,4,2,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,4,4,0,3.3333333333,0,22.420940171,0.04
2017-01-01,10,4,2,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,1,0,0,0,2,4,0,2.6666666667,0,22.420940171,0.04
2017-01-01,11,4,5,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,1,0,0,0,2,2,0,3,0,56.052350427,0.1
2017-01-01,12,4,4,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,1,0,0,0,5,2,0,3.6666666667,0,44.841880342,0.08
2017-01-01,13,4,6,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,4,5,0,5,0,67.262820513,0.12
2017-01-01,14,4,4,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,6,4,0,4.6666666667,0,44.841880342,0.08
2017-01-01,15,4,3,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,4,6,0,4.3333333333,0,33.631410256,0.06
2017-01-01,16,4,6,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,3,4,0,4.3333333333,0,67.262820513,0.12
2017-01-01,17,4,6,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,6,3,0,5,0,67.262820513,0.12
2017-01-01,18,4,2,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,1,0,0,0,6,6,0,4.6666666667,0,22.420940171,0.04
2017-01-01,19,4,3,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,1,0,0,0,2,6,0,3.6666666667,0,33.631410256,0.06
2017-01-01,20,4,8,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,1,0,0,0,3,2,0,4.3333333333,0,89.683760684,0.16
2017-01-01,21,4,6,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,1,0,0,0,8,3,0,5.6666666667,0,67.262820513,0.12
2017-01-01,22,4,4,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,6,8,0,6,0,44.841880342,0.08
2017-01-01,23,4,8,52.178846154,0,0,NormalCongesti,11.210470085,1,1,1,0,0,0,0,4,6,0,6,0,89.683760684,0.16
2017-01-02,0,4,7,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,8,4,0,6.3333333333,0,80.581481481,0.14
2017-01-02,1,4,5,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,7,8,0,6.6666666667,0,57.558201058,0.1
2017-01-02,2,4,3,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,5,7,0,5,0,34.534920635,0.06
2017-01-02,3,4,5,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,3,5,0,4.3333333333,0,57.558201058,0.1
2017-01-02,4,4,2,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,5,3,0,3.3333333333,0,23.023280423,0.04
2017-01-02,5,4,5,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,2,5,0,4,0,57.558201058,0.1
2017-01-02,6,4,4,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,5,2,0,3.6666666667,0,46.046560847,0.08
2017-01-02,7,4,3,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,4,5,0,4,0,34.534920635,0.06
2017-01-02,8,4,3,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,3,4,0,3.3333333333,0,34.534920635,0.06
2017-01-02,9,4,5,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,3,3,0,3.6666666667,0,57.558201058,0.1
2017-01-02,10,4,10,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,1,0,0,0,5,3,0,6,0,115.11640212,0.2
2017-01-02,11,4,8,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,1,0,0,0,10,5,0,7.6666666667,0,92.093121693,0.16
2017-01-02,12,4,8,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,1,0,0,0,8,10,0,8.6666666667,0,92.093121693,0.16
2017-01-02,13,4,6,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,8,8,0,7.3333333333,0,69.06984127,0.12
2017-01-02,14,4,10,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,6,8,0,8,0,115.11640212,0.2
2017-01-02,15,4,13,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,10,6,0,9.6666666667,0,149.65132275,0.26
2017-01-02,16,4,14,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,13,10,0,12.333333333,0,161.16296296,0.28
2017-01-02,17,4,10,52.720952381,0,0,NormalCongesti,11.511640212,2,1,0,0,0,0,0,14,13,0,12.333333333,0,115.11640212,0.2
